StudentID,Age,Gender,Department,StudyHours,Attendance,AssignmentScore,PreviousExamScore,PracticeTestScore,FinalMarks,Pass
S001,24,Male,Engineering,1.0,81.7,60.0,59.0,57.0,54.6,1
S002,21,Male,Engineering,2.0,84.0,46.0,55.0,45.0,51.6,1
S003,22,Male,Engineering,5.0,52.5,66.0,70.0,54.0,58.3,1
S004,24,Female,Engineering,6.2,82.8,73.0,73.0,63.0,69.8,1
S005,20,Male,Mathematics,7.8,52.2,59.0,61.0,48.0,61.3,1
S006,22,Female,Physics,,78.8,57.0,47.0,52.0,53.0,1
S007,22,Male,Engineering,8.2,99.0,91.0,84.0,85.0,88.3,1
S008,24,Female,Physics,7.3,77.2,63.0,76.0,60.0,72.4,1
S009,19,Male,Mathematics,4.5,73.2,67.0,66.0,65.0,64.8,1
S010,20,Male,Mathematics,8.9,65.3,77.0,78.0,64.0,78.3,1
S011,24,Male,Physics,9.4,55.9,86.0,75.0,68.0,81.2,1
S012,20,Female,Computer Science,2.7,85.8,47.0,69.0,49.0,59.0,1
S013,20,Female,Commerce,4.2,59.4,45.0,55.0,34.0,47.2,0
S014,22,Male,Computer Science,8.9,55.6,49.0,53.0,47.0,56.8,1
S015,21,Female,Computer Science,7.1,70.7,68.0,66.0,60.0,67.4,1
S016,20,Female,Computer Science,1.4,,50.0,55.0,55.0,52.3,1
S017,23,Female,Engineering,7.6,86.5,66.0,68.0,64.0,72.7,1
S018,22,Female,Mathematics,8.0,52.7,60.0,67.0,62.0,69.9,1
S019,19,Male,Computer Science,7.4,72.3,54.0,72.0,51.0,66.6,1
S020,21,Male,Mathematics,7.8,75.6,77.0,52.0,60.0,70.6,1
S021,23,Female,Physics,8.0,81.6,67.0,73.0,72.0,76.6,1
S022,23,Female,Commerce,2.6,81.9,74.0,59.0,61.0,59.8,1
S023,19,Female,Physics,3.0,67.9,44.0,43.0,52.0,43.8,0
S024,21,Male,Physics,6.4,77.5,57.0,66.0,68.0,67.4,1
S025,22,Male,Engineering,8.7,73.6,67.0,79.0,63.0,81.9,1
S026,18,Female,Commerce,3.7,93.4,,56.0,43.0,53.1,1
S027,21,Female,Physics,6.0,76.0,64.0,63.0,52.0,60.9,1
S028,19,Female,Physics,6.8,71.6,59.0,69.0,49.0,68.5,1
S029,23,Female,Commerce,4.8,69.8,63.0,60.0,52.0,60.8,1
S030,22,Female,Commerce,7.1,78.0,64.0,68.0,66.0,71.0,1
S031,21,Male,Physics,8.6,89.4,87.0,76.0,57.0,83.4,1
S032,18,Male,Commerce,6.3,76.4,68.0,57.0,50.0,62.4,1
S033,18,Female,Physics,5.6,82.4,61.0,55.0,52.0,61.7,1
S034,20,Female,Physics,4.7,86.2,72.0,68.0,56.0,68.4,1
S035,20,Male,Engineering,5.9,75.5,68.0,66.0,56.0,69.9,1
S036,24,,Computer Science,4.0,70.9,74.0,51.0,52.0,55.9,1
S037,19,Female,Physics,4.3,93.0,56.0,65.0,53.0,64.8,1
S038,21,Male,Mathematics,5.5,70.5,57.0,69.0,53.0,63.0,1
S039,21,Male,Computer Science,1.6,72.6,54.0,42.0,40.0,45.0,0
S040,24,Female,Computer Science,2.9,98.5,44.0,40.0,46.0,50.8,1
S041,23,Female,Computer Science,5.6,50.0,60.0,52.0,57.0,53.6,1
S042,23,Female,Engineering,4.7,59.1,53.0,59.0,43.0,55.2,1
S043,24,Male,Physics,3.8,68.8,42.0,52.0,28.0,45.3,0
S044,23,Female,Engineering,7.2,95.7,61.0,66.0,63.0,70.5,1
S045,20,Male,Physics,6.9,53.4,51.0,69.0,47.0,61.6,1
S046,21,Male,,2.4,50.5,30.0,45.0,39.0,39.6,0
S047,24,Female,Engineering,8.5,52.6,58.0,61.0,45.0,62.7,1
S048,21,Female,Mathematics,5.2,54.3,55.0,49.0,56.0,56.0,1
S049,18,Female,Engineering,7.3,51.8,54.0,56.0,66.0,64.1,1
S050,20,Female,Commerce,5.9,73.5,70.0,63.0,60.0,68.5,1
S051,22,Female,Mathematics,9.5,78.5,89.0,93.0,78.0,88.2,1
S052,20,Male,Engineering,7.4,63.3,72.0,73.0,62.0,72.6,1
S053,24,Male,Computer Science,7.0,69.5,64.0,73.0,66.0,70.5,1
S054,22,Male,Commerce,7.6,54.5,41.0,62.0,52.0,62.1,1
S055,18,Male,Commerce,2.2,66.5,36.0,52.0,48.0,44.9,0
S056,24,Female,Commerce,2.7,75.6,46.0,40.0,37.0,44.4,0
S057,19,Male,Mathematics,7.1,85.9,61.0,72.0,62.0,70.6,1
S058,21,Female,Engineering,5.2,50.2,47.0,35.0,36.0,45.1,0
S059,18,Female,Engineering,7.4,72.9,78.0,65.0,56.0,71.5,1
S060,21,Female,Computer Science,1.9,64.6,30.0,36.0,33.0,37.3,0
S061,23,Male,Computer Science,5.6,91.8,79.0,76.0,62.0,74.7,1
S062,19,Female,Commerce,4.2,85.1,64.0,61.0,63.0,64.5,1
S063,19,Male,Computer Science,4.9,78.9,59.0,56.0,47.0,58.3,1
S064,18,Male,Mathematics,6.1,63.6,51.0,55.0,51.0,55.9,1
S065,19,Female,Engineering,5.3,94.6,57.0,74.0,55.0,66.0,1
S066,22,Male,Commerce,5.6,52.2,38.0,46.0,42.0,49.7,0
S067,19,Male,Computer Science,5.1,55.4,64.0,70.0,57.0,61.9,1
S068,21,Female,Mathematics,4.5,69.2,65.0,65.0,51.0,56.8,1
S069,21,Male,Mathematics,7.6,56.1,49.0,63.0,55.0,63.6,1
S070,24,Female,Computer Science,1.1,96.9,44.0,38.0,38.0,48.0,0
S071,21,Female,Engineering,6.1,89.1,69.0,77.0,66.0,72.3,1
S072,24,Female,Computer Science,5.8,62.7,53.0,54.0,47.0,56.7,1
S073,21,Male,Commerce,7.1,78.8,51.0,56.0,41.0,60.0,1
S074,22,Male,Computer Science,6.1,98.1,63.0,74.0,68.0,74.8,1
S075,24,Female,Mathematics,8.0,93.3,90.0,76.0,76.0,82.2,1
S076,20,Male,Computer Science,9.2,79.4,70.0,,60.0,76.7,1
S077,23,Female,Engineering,3.9,94.3,57.0,60.0,54.0,62.8,1
S078,18,Female,Physics,2.9,98.5,47.0,69.0,60.0,63.1,1
S079,21,Female,Computer Science,4.6,86.4,63.0,58.0,52.0,62.3,1
S080,19,Male,Engineering,3.4,53.2,43.0,41.0,38.0,41.7,0
S081,21,Male,Engineering,6.2,69.7,53.0,65.0,55.0,59.4,1
S082,19,Female,Mathematics,8.8,91.1,67.0,70.0,58.0,75.0,1
S083,23,Male,Engineering,2.2,61.3,51.0,48.0,51.0,45.9,0
S084,23,Male,Engineering,1.9,90.7,37.0,54.0,43.0,47.4,0
S085,23,Female,Engineering,3.2,55.9,46.0,43.0,37.0,43.4,0
S086,19,Female,Engineering,7.2,52.3,40.0,62.0,52.0,56.9,1
S087,21,Female,Commerce,6.0,68.8,64.0,66.0,51.0,63.7,1
S088,23,Female,Commerce,1.9,51.8,43.0,34.0,49.0,41.2,0
S089,22,Male,Mathematics,8.8,96.9,88.0,87.0,85.0,89.9,1
